episodes,rewards
0,9
1,11
2,13
3,29
4,52
5,33
6,32
7,13
8,31
9,17
10,31
11,19
12,20
13,28
14,23
15,16
16,21
17,10
18,12
19,8
20,32
21,19
22,46
23,10
24,10
25,17
26,15
27,19
28,18
29,24
30,24
31,32
32,17
33,52
34,17
35,41
36,44
37,10
38,18
39,58
40,11
41,14
42,20
43,20
44,12
45,35
46,39
47,22
48,14
49,19
50,41
51,61
52,15
53,21
54,14
55,28
56,23
57,17
58,116
59,69
60,26
61,13
62,10
63,20
64,17
65,22
66,46
67,33
68,28
69,18
70,21
71,14
72,37
73,14
74,17
75,15
76,26
77,12
78,26
79,30
80,34
81,13
82,22
83,18
84,42
85,16
86,29
87,18
88,46
89,53
90,24
91,34
92,16
93,23
94,51
95,21
96,37
97,21
98,47
99,23
100,32
101,20
102,24
103,29
104,59
105,62
106,31
107,36
108,32
109,38
110,28
111,20
112,52
113,48
114,26
115,60
116,36
117,49
118,15
119,75
120,69
121,56
122,17
123,39
124,63
125,53
126,33
127,33
128,40
129,30
130,24
131,68
132,18
133,29
134,66
135,45
136,52
137,68
138,44
139,74
140,51
141,46
142,24
143,98
144,59
145,99
146,132
147,32
148,36
149,115
150,24
151,33
152,34
153,45
154,24
155,36
156,59
157,99
158,31
159,57
160,110
161,91
162,35
163,48
164,40
165,43
166,237
167,31
168,36
169,52
170,67
171,31
172,75
173,18
174,40
175,107
176,26
177,269
178,89
179,155
180,27
181,114
182,19
183,40
184,53
185,151
186,204
187,157
188,95
189,43
190,110
191,90
192,52
193,61
194,140
195,29
196,114
197,68
198,82
199,66
200,20
201,14
202,194
203,97
204,116
205,110
206,92
207,29
208,62
209,122
210,175
211,97
212,86
213,100
214,78
215,86
216,61
217,35
218,157
219,125
220,180
221,63
222,44
223,207
224,44
225,80
226,113
227,172
228,202
229,142
230,139
231,213
232,122
233,164
234,53
235,179
236,209
237,199
238,136
239,97
240,279
241,46
242,127
243,54
244,42
245,113
246,168
247,64
248,111
249,182
250,61
251,145
252,100
253,118
254,160
255,89
256,236
257,100
258,129
259,212
260,114
261,205
262,158
263,150
264,119
265,101
266,137
267,131
268,65
269,157
270,62
271,196
272,34
273,70
274,35
275,146
276,110
277,49
278,53
279,108
280,102
281,35
282,29
283,46
284,167
285,27
286,172
287,298
288,199
289,260
290,184
291,209
292,187
293,122
294,173
295,219
296,181
297,203
298,170
299,211
